"","cow","year","milex","version"
"243","CAN",1965,1544548,2011
"244","CAN",1966,1642790,2011
"245","CAN",1967,1813063,2011
"246","CAN",1968,1782772,2011
"247","CAN",1969,1770133,2011
"248","CAN",1970,1920602,2011
"249","CAN",1971,2110319,2011
"250","CAN",1972,2260834,2011
"251","CAN",1973,2404759,2011
"252","CAN",1974,2926380,2011
"253","CAN",1975,3074729,2011
"254","CAN",1976,3639959,2011
"255","CAN",1977,3877762,2011
"256","CAN",1978,4016964,2011
"257","CAN",1979,4119005,2011
"258","CAN",1980,4387240,2011
"259","CAN",1981,5246444,2011
"260","CAN",1982,6182339,2011
"261","CAN",1983,6562003,2011
"262","CAN",1984,7195604,2011
"263","CAN",1985,6809000,2011
"264","CAN",1986,7180000,2011
"265","CAN",1987,7960000,2011
"266","CAN",1988,8830000,2011
"267","CAN",1989,9480000,2011
"268","CAN",1990,10280000,2011
"269","CAN",1991,11420000,2011
"270","CAN",1992,10310000,2011
"271","CAN",1993,9600000,2011
"272","CAN",1994,9695000,2011
"273","CAN",1995,9126000,2011
"274","CAN",1996,8624000,2011
"275","CAN",1997,7801000,2011
"276","CAN",1998,7677000,2011
"277","CAN",1999,8395000,2011
"278","CAN",2000,8320000,2011
"279","CAN",2001,7745000,2011
"280","CAN",2002,8522000,2011
"281","CAN",2003,10102000,2011
"282","CAN",2004,11501000,2011
"283","CAN",2005,13224000,2011
"284","CAN",2006,15103000,2011
"285","CAN",2007,18491000,2011
"286","CAN",2008,19836000,2011
"287","CAN",2009,19575000,2011
"288","CAN",2010,20240000,2011
"289","CAN",2011,20081000,2011
"290","CAN",2012,18445000,2011
"291","BHM",1973,0,2011
"292","BHM",1974,0,2011
"293","BHM",1975,0,2011
"294","BHM",1976,5500,2011
"295","BHM",1977,4800,2011
"296","BHM",1978,4900,2011
"297","BHM",1979,2700,2011
"298","BHM",1980,5000,2011
"299","BHM",1981,6600,2011
"300","BHM",1982,9000,2011
"301","BHM",1983,8000,2011
"302","BHM",1984,8600,2011
"303","BHM",1985,9600,2011
"304","BHM",1986,11100,2011
"305","BHM",1987,14337,2011
"306","BHM",1988,77700,2011
"307","BHM",1989,66500,2011
"308","BHM",1990,65700,2011
"309","BHM",1991,48000,2011
"310","BHM",1992,17800,2011
"311","BHM",1993,-9,2011
"312","BHM",1994,20000,2011
"313","BHM",1995,19000,2011
"314","BHM",1996,22000,2011
"315","BHM",1997,22000,2011
"316","BHM",1998,26000,2011
"317","BHM",1999,26000,2011
"318","BHM",2000,30000,2011
"319","BHM",2001,29000,2011
"320","BHM",2002,28000,2011
"321","BHM",2003,33000,2011
"322","BHM",2004,34000,2011
"323","BHM",2005,36000,2011
"324","BHM",2006,48000,2011
"325","BHM",2007,58000,2011
"326","BHM",2008,49000,2011
"327","BHM",2009,49000,2011
"328","BHM",2010,47000,2011
"329","BHM",2011,50000,2011
"330","BHM",2012,55000,2011
"331","CUB",1902,-9,2011
"332","CUB",1903,-9,2011
"333","CUB",1904,-9,2011
"334","CUB",1905,-9,2011
"335","CUB",1906,6161,2011
"336","CUB",1909,-9,2011
"337","CUB",1910,-9,2011
"338","CUB",1911,-9,2011
"339","CUB",1912,-9,2011
"340","CUB",1913,7293,2011
"341","CUB",1914,-9,2011
"342","CUB",1915,-9,2011
"343","CUB",1916,-9,2011
"344","CUB",1917,-9,2011
"345","CUB",1918,-9,2011
"346","CUB",1919,14374,2011
"347","CUB",1920,16979,2011
"348","CUB",1921,17444,2011
"349","CUB",1922,14133,2011
"350","CUB",1923,9506,2011
"351","CUB",1924,9516,2011
"352","CUB",1925,12043,2011
"353","CUB",1926,12471,2011
"354","CUB",1927,12313,2011
"355","CUB",1928,12846,2011
"356","CUB",1929,12734,2011
"357","CUB",1930,11988,2011
"358","CUB",1931,10100,2011
"359","CUB",1932,9795,2011
"360","CUB",1933,7894,2011
"361","CUB",1934,12195,2011
"362","CUB",1935,14488,2011
"363","CUB",1936,18385,2011
"364","CUB",1937,18485,2011
"365","CUB",1938,18385,2011
"366","CUB",1939,18477,2011
"367","CUB",1940,17416,2011
"368","CUB",1941,-9,2011
"369","CUB",1942,15794,2011
